no,month,area,year,price,loc
463,3,전용면적 60㎡초과 85㎡이하,2019,,울산
464,3,전용면적 85㎡초과 102㎡이하,2019,,울산
465,3,전용면적 102㎡초과,2019,,울산
466,3,전체,2019,3055,세종
467,3,전용면적 60㎡이하,2019,3064,세종
468,3,전용면적 60㎡초과 85㎡이하,2019,3063,세종
469,3,전용면적 85㎡초과 102㎡이하,2019,3155,세종
470,3,전용면적 102㎡초과,2019,2990,세종
471,3,전체,2019,2405,강원
472,3,전용면적 60㎡이하,2019,2574,강원
473,3,전용면적 60㎡초과 85㎡이하,2019,2394,강원
474,3,전용면적 85㎡초과 102㎡이하,2019,3022,강원
475,3,전용면적 102㎡초과,2019,2311,강원
476,3,전체,2019,2291,충북
477,3,전용면적 60㎡이하,2019,2158,충북
478,3,전용면적 60㎡초과 85㎡이하,2019,2301,충북
479,3,전용면적 85㎡초과 102㎡이하,2019,2789,충북
480,3,전용면적 102㎡초과,2019,2696,충북
481,3,전체,2019,2597,충남
482,3,전용면적 60㎡이하,2019,2561,충남
483,3,전용면적 60㎡초과 85㎡이하,2019,2569,충남
484,3,전용면적 85㎡초과 102㎡이하,2019,2657,충남
485,3,전용면적 102㎡초과,2019,2729,충남
486,3,전체,2019,2452,전북
487,3,전용면적 60㎡이하,2019,2666,전북
488,3,전용면적 60㎡초과 85㎡이하,2019,2435,전북
489,3,전용면적 85㎡초과 102㎡이하,2019,3052,전북
490,3,전용면적 102㎡초과,2019,2753,전북
491,3,전체,2019,2388,전남
492,3,전용면적 60㎡이하,2019,2241,전남
493,3,전용면적 60㎡초과 85㎡이하,2019,2383,전남
494,3,전용면적 85㎡초과 102㎡이하,2019,2337,전남
495,3,전용면적 102㎡초과,2019,2887,전남
496,3,전체,2019,2649,경북
497,3,전용면적 60㎡이하,2019,2486,경북
498,3,전용면적 60㎡초과 85㎡이하,2019,2636,경북
499,3,전용면적 85㎡초과 102㎡이하,2019,2667,경북
500,3,전용면적 102㎡초과,2019,3098,경북
501,3,전체,2019,2877,경남
502,3,전용면적 60㎡이하,2019,2776,경남
503,3,전용면적 60㎡초과 85㎡이하,2019,2855,경남
504,3,전용면적 85㎡초과 102㎡이하,2019,3173,경남
505,3,전용면적 102㎡초과,2019,4303,경남
506,3,전체,2019,3424,제주
507,3,전용면적 60㎡이하,2019,3804,제주
508,3,전용면적 60㎡초과 85㎡이하,2019,3504,제주
509,3,전용면적 85㎡초과 102㎡이하,2019,3226,제주
510,3,전용면적 102㎡초과,2019,2952,제주
511,4,전체,2019,7784,서울
512,4,전용면적 60㎡이하,2019,7894,서울
513,4,전용면적 60㎡초과 85㎡이하,2019,8272,서울
