bno,bname,bstart,bend,bregister
201,안성공도 택지개발지구 근린생활시설용지 공급 공고 ,2011-03-04,2011-03-24,2011-03-04
202,광교신도시 업무시설용지 공급공고,2011-03-03,2011-03-15,2011-03-03
203,광교 도시지원용지 3블록 제2차 공모 공고,2011-02-23,2011-04-30,2011-02-23
204,광교신도시 업무시설용지 공급안내,2011-03-03,2011-03-18,2011-02-10
205,[2차 정정공고] 광교신도시 단독주택용지 공급 공고,2010-12-17,2010-12-21,2010-12-17
206,[정정공고] 광교 이주자택지 공급공고,2010-12-15,2010-12-15,2010-12-15
207,[정정공고] 광교신도시 단독주택용지 공급 공고,2010-12-13,2010-12-21,2010-12-13
208,광교신도시 수의계약 대상용지 안내,2010-12-13,2011-05-31,2010-12-13
209,광교신도시 단독주택용지 공급 공고,2010-12-06,2010-12-21,2010-12-06
210,안성공도택지지구 미매각용지 공급 공고 ,2010-12-02,2010-12-08,2010-12-02
211,광교신도시 이주자택지 공급 공고,2010-11-29,2010-12-15,2010-11-29
212,광교신도시 업무시설용지 및 자동차관련시설용지 공급 공고 ,2010-11-15,2010-12-31,2010-11-15
213,광교신도시 공동주택용지(A18블록) 공급 공고 ,2010-11-10,2010-11-25,2010-11-10
214,"안성공도택지개발지구 연립주택용지 등 공급공고(5년무이자, 토지리턴제 적용)",2010-11-03,2010-12-31,2010-11-03
215,광교신도시 주상복합용지 및 연립주택용지 공급 공고,2010-10-18,2010-11-09,2010-10-18
216,광교신도시 주차장용지 등 공급 정정공고,2010-10-12,2010-10-18,2010-10-12
217,광교신도시 주차장 및 종교용지 등 공급공고 ,2010-10-08,2010-10-18,2010-10-08
218,광교 도시3(바이오제약단지) 획지분할선 변경예정 안내 ,2010-10-07,2010-11-09,2010-10-07
219,광교 근린생활시설 및 주차장용지 수의계약 공급 공고,2010-10-07,2010-12-31,2010-09-29
220,[정정공고]광교 주상복합용지 등 공급 추가 정정공고  ,2010-09-03,2010-09-10,2010-09-03
221,[2010-146호 정정공고] 광교 주상복합용지 등 공급 정정공고,2010-08-25,2010-09-07,2010-08-25
222,광교지구 택지개발지구 주상복합용지 등 공급공고,2010-08-24,2010-09-07,2010-08-24
223,비즈니스파크 공고 관련 제5차 공지사항 안내,2010-08-12,2010-09-30,2010-08-12
